"filename", "language", "JSON", "XML", "Markdown", "C#", "JavaScript", "CSS", "Properties", "ASP.NET Razor", "comment", "blank", "total"
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\bin\Debug\net8.0\appsettings.Development.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\bin\Debug\net8.0\appsettings.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\bin\Debug\net8.0\package-lock.json", "JSON", 1893, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1894
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\bin\Debug\net8.0\package.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 3, 0, 0, 0, 0, 1, 1, 5
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\obj\Debug\net8.0\NordicNest.AssemblyInfo.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 0, 9, 5, 23
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\obj\Debug\net8.0\NordicNest.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 70, 0, 0, 18, 88
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\obj\Debug\net8.0\NordicNest.GlobalUsings.g.cs", "C#", 0, 0, 0, 16, 0, 0, 0, 0, 1, 1, 18
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\obj\Debug\net8.0\NordicNest.RazorAssemblyInfo.cs", "C#", 0, 0, 0, 4, 0, 0, 0, 0, 10, 5, 19
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\obj\Debug\net8.0\NordicNest.sourcelink.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\obj\Debug\net8.0\scopedcss\Pages\Shared\_Layout.cshtml.rz.scp.css", "CSS", 0, 0, 0, 0, 0, 38, 0, 0, 2, 9, 49
